name,articul,price,gb,screen
"Ноутбук ASUS VIVOBOOK 14 X1404VA-I512256 Intel i5-1334U(up to 4.6GHz) 12GB DDR4, 1TB SSD NVMe, 14.0"" FHD, Intel Iris Xe Graphics, WF, BT, HDMI, Type-C, WIN11H, ENG-RUS, темно синий",278296,62558,12GB,"14.0"""
"Ноутбук ASUS Vivobook 14 X1404VA-I38128 Intel Core i3-1315U (up to 4.5Ghz), 24GB DDR4, 512GB SSD m2 NVMe, 14"" FHD, Type-C, HDMI, WiFi, BT, WIN11H, ENG-RUS, темно синий",276586,65104,24GB,"14"""
"Ноутбук ASUS Vivobook 14 X1404VA-I38128 Intel Core i3-1315U (up to 4.5Ghz), 16GB DDR4, 1TB SSD m2 NVMe, 14"" FHD, Type-C, HDMI, WiFi, BT, WIN11H, ENG-RUS, темно синий",276581,65789,16GB,"14"""
"Ноутбук ASUS VIVOBOOK 14 X1404VA-I512256 Intel i5-1334U(up to 4.6GHz) 24GB DDR4, 512GB SSD NVMe, 14.0"" FHD, Intel Iris Xe Graphics, WF, BT, HDMI, Type-C, WIN11H, ENG-RUS, темно синий",278305,67453,24GB,"14.0"""
"Ноутбук ASUS VIVOBOOK 14 X1404VA-I512256 Intel i5-1334U(up to 4.6GHz) 16GB DDR4, 1TB SSD NVMe, 14.0"" FHD, Intel Iris Xe Graphics, WF, BT, HDMI, Type-C, WIN11H, ENG-RUS, темно синий",278299,68138,16GB,"14.0"""
"Ультрабук Dell Inspiron 5441-SX8685GRY Copilot+ Snapdragon® X Plus X1P 42 100 (up to 3.20GHz), 16GB DDR4, 1TB SSD, Qualcomm® Adreno™ GPU, 14"" WUXGA (1920 x 1200), WiFi ax, BT 5.0, HD WC, CR, Win11, Backlit Русская клавиатура, GRAY",288809,68236,16GB,"14"""
"Asus ExpertBook B3 Flip 2-in-1 B3402FVA-I516512B7D Intel Core 5-120U (10 ядер/12 потоков, up to 5.0Ghz), 14.0"" FULL HD IPS 400nits (1920 x 1080) 360° Touchscreen, 8GB DDR4-3200Mhz, 256GB SSD PCIe NVMe M.2, Intel Graphics, WiFi 6E, BT5.4, 2xUSB Type-A, 2xThunderbolt 4, RJ45 Gigabit Ethernet, HDMI 2.1, Dual Camera 720p 3DNR HD Webam with Privacy Shutter + Special 13 MP world-facing high-resolution camera located just above the keyboard, Audio Sound by SonicMaster, Backlight Chiclet Keyboa",291070,69134,8GB,"14.0"""
"Asus ExpertBook B3 Flip 2-in-1 B3402FVA-I516512B7D Intel Core 5-120U (10 ядер/12 потоков, up to 5.0Ghz), 14.0"" FULL HD IPS 400nits (1920 x 1080) 360° Touchscreen, 8GB DDR4-3200Mhz, 512GB SSD PCIe NVMe M.2, Intel Graphics, WiFi 6E, BT5.4, 2xUSB Type-A, 2xThunderbolt 4, RJ45 Gigabit Ethernet, HDMI 2.1, Dual Camera 720p 3DNR HD Webam with Privacy Shutter + Special 13 MP world-facing high-resolution camera located just above the keyboard, Audio Sound by SonicMaster, Backlight Chiclet Keyboa",291073,70648,8GB,"14.0"""
"Apple MacBook Neo 13.3"" Apple A18 Pro (6C CPU/5C GPU), 8 GB, 256 GB, (розовый)",290581,71875,8 GB,"13.3"""
"Apple MacBook Neo 13.3"" Apple A18 Pro (6C CPU/5C GPU), 8 GB, 256 GB, (серебро)",289031,71875,8 GB,"13.3"""
"Apple MacBook Neo 13.3"" Apple A18 Pro (6C CPU/5C GPU), 8 GB, 256 GB, (синий)",289030,71875,8 GB,"13.3"""
"Apple MacBook Neo 13.3"" Apple A18 Pro (6C CPU/5C GPU), 8 GB, 256 GB, (цитрус)",290582,71875,8 GB,"13.3"""
"Ноутбук ASUS Vivobook 14 X1404VA-I38128 Intel Core i3-1315U (up to 4.5Ghz), 24GB DDR4, 1TB SSD m2 NVMe, 14"" FHD, Type-C, HDMI, WiFi, BT, WIN11H, ENG-RUS, темно синий",276584,71994,24GB,"14"""
"HP OmniBook 3 AI 16-BU0315DX Intel Core Ultra 5-225U (12 ядер/14 потоков, up to 4.8Ghz), 16"" 2K IPS 300nits (1920 x 1200) Touchscreen, 8GB DDR5, 256GB SSD PCIe NVMe, Intel Graphics, 2xUSB Type-A, 2xUSB-C (with PD and DP), WiFi 7, BT 6, HP True Vision 1080p FHD Camera with Privacy Shutter, HP Fast Charge (Быстрая зарядка), Copilot Key, Eng-Rus, MICA SILVER",292641,72162,8GB,"16"""
"Ноутбук ASUS EXPERTBOOK B3402FVA-I516512B7D Intel 5-120U(up to 5.0Ghz) 16GB DDR4, 512GB SSD M2 NVMe, 14"" FHD X360 Touch, Intel® Iris® Xᵉ Graphics, HDMI, WiFi, BT, DOS, ENG-RUS, STAR BLACK, Bag, Mouse",291374,72571,16GB,"14"""
"Asus ExpertBook B3 Flip 2-in-1 B3402FVA-I516512B7D Intel Core 5-120U (10 ядер/12 потоков, up to 5.0Ghz), 14.0"" FULL HD IPS 400nits (1920 x 1080) 360° Touchscreen, 16GB DDR4-3200Mhz, 256GB SSD PCIe NVMe M.2, Intel Graphics, WiFi 6E, BT5.4, 2xUSB Type-A, 2xThunderbolt 4, RJ45 Gigabit Ethernet, HDMI 2.1, Dual Camera 720p 3DNR HD Webam with Privacy Shutter + Special 13 MP world-facing high-resolution camera located just above the keyboard, Audio Sound by SonicMaster, Backlight Chiclet Keybo",291071,73676,16GB,"14.0"""
"HP OmniBook 3 AI 16-BU0315DX Intel Core Ultra 5-225U (12 ядер/14 потоков, up to 4.8Ghz), 16"" 2K IPS 300nits (1920 x 1200) Touchscreen, 8GB DDR5, 512GB SSD PCIe NVMe, Intel Graphics, 2xUSB Type-A, 2xUSB-C (with PD and DP), WiFi 7, BT 6, HP True Vision 1080p FHD Camera with Privacy Shutter, HP Fast Charge (Быстрая зарядка), Copilot Key, Eng-Rus, MICA SILVER + Windows 11 Home",292647,73676,8GB,"16"""
"Ноутбук ASUS VIVOBOOK 14 X1404VA-I512256 Intel i5-1334U(up to 4.6GHz) 24GB DDR4, 1TB SSD NVMe, 14.0"" FHD, Intel Iris Xe Graphics, WF, BT, HDMI, Type-C, WIN11H, ENG-RUS, темно синий",278303,73820,24GB,"14.0"""
"Asus ExpertBook B3 Flip 2-in-1 B3402FVA-I516512B7D Intel Core 5-120U (10 ядер/12 потоков, up to 5.0Ghz), 14.0"" FULL HD IPS 400nits (1920 x 1080) 360° Touchscreen, 16GB DDR4-3200Mhz, 512GB SSD PCIe NVMe M.2, Intel Graphics, WiFi 6E, BT5.4, 2xUSB Type-A, 2xThunderbolt 4, RJ45 Gigabit Ethernet, HDMI 2.1, Dual Camera 720p 3DNR HD Webam with Privacy Shutter + Special 13 MP world-facing high-resolution camera located just above the keyboard, Audio Sound by SonicMaster, Backlight Chiclet Keybo",291074,75190,16GB,"14.0"""
